SITECODE,Latitude,Longitude,ELEV,ELEV_Cate,Location,Continent,Country,Cite,Genus.spp,TaxGroup,Order,Family,Genus,Species,GF,DecEv,SLA,Amass,Aarea,Nmass,Narea,PPTmean,PPTmin,PPTmax,PPTcv,PPTseason,RH,TMPmean,TMPmin,TMPmax,TMPrange,TMPiso,TMP0gs,TMP5gs,TMP0nb,TMP5nb,SUNmean,SUNmin,SUNmax,SUNrange,PAR0,PAR5,RAD,PETf,PETq,Mif,Miq,ALU,SODIUM,CARB,TBA,SBA,SALT,Ntot,CN,AWHC,pH,CECS,CECC,BULK,CLAY,SILT,SAND,GRAVEL,Corg,DEPTH,Pavail,P.Distance
177,31.84,92.9,4307,Very High,Central Tibetan Plateau Transect site X10,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Kobresia sp,Angio,Poales,Cyperaceae,Kobresia,sp,G,N,119.760479,170,14,2.37,1.98,408,3.4,120.5,1.08535951,0.675453086,56.5916667,-0.4,-13,9,148,40,85.55233125,25.28443504,14.5,9.5,64.7416667,50.6,78.4,27.8,760.6695785,504.2030548,158.3333333,856,1039.915366,0.476635514,0.39233962,23,3,177.84,9.1,77,0.1,1.117500003,9.892500071,11,6.2,21,41,1.271,26,29,45,3,50.5,150,61.37250185,5
178,29.33,89.95,3706,Very High,Central Tibetan Plateau Transect site XX2,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Leptodermis microphylla,Angio,Gentiales,Rubiaceae,Leptodermis,microphylla,S,D,156.494523,140,9.1,2.5,1.6,390,1,63.1,1.26356294,0.715026294,53.2333333,6.8,-8.2,10.3,148,43,118.6690111,44.21873788,17.66666667,12.16666667,61.6083333,42.2,76.5,34.3,860.30375,596.8691988,157.0833333,944,1063.132812,0.413135593,0.366840338,9.075,1,84.8137,13.8,85,0.1,1.627249985,10.95070053,12.85,6.5,19,36,1.313,24,32,44,16,40.1,137,108.1723504,5
179,28.19,86.83,5100,Very High,Central Tibetan Plateau Transect site XX3,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Hippophae thibeta,Angio,Rosales,Elaeagceae,Hippophae,thibeta,S,E,126.903553,140,10.9,4.37,3.44,244,6,51,0.73825757,0.37067907,55.6333333,-5.65,-14.5,4.1,148,46,26.52310065,0,9.666666667,0,52.4083333,27.8,66.1,38.3,425.7521602,0,155.4166667,743,888.5028073,0.328398385,0.274619279,5.18,3,66.4462,9.1,77,0.1,1.93000001,11.89594885,14.805,5.7,18,41,1.07,15,22,62,19,36.6,50,959.1779126,5
180,28.51,87.07,5242,Very High,Central Tibetan Plateau Transect site XX5,Asia,China,"He, J.-S., Wang, Z., Wang, X., Schmid, B., Zuo, W., Zhou, M., Zheng, C., Wang, M. and Fang, J. (2006) A test of the generality of leaf trait relationships on the Tibetan Plateau. New Phytologist, 170, 835‚Ä?48.",Marmoritis pharicum,Angio,Asterales,Asteraceae,Marmoritis,glanduligera,H,N,199.7917715,195,10.3,2.535,1.295,239,1.3,87.5,1.57295164,0.783829116,55.525,-6.91,-9.5,10.5,153,45,109.2530231,41.53785916,16,11.08333333,53.5416667,30.7,66.4,35.7,743.93265,505.6566953,155.0833333,880,1099.420265,0.271590909,0.217387296,5.18,2.34,66.4462,8.6,71,0.1,1.93000001,11.89594885,14.805,6.5,28,31,1.172,23,18,59,10,26.6,50,42.47121683,5
181,35,139,300,Low,Japan,Asia,Japan,"Hikosaka, K. & Hirose, T. Photosynthetic nitrogen-use efficiency in evergreen broad-leaved woody species coexisting in a warm-temperate forest. Tree Physiology 20, 1249-1254 (2000)",Camellia japonica,Angio,Ericales,Fagaceae,Camellia,japonica,T,E,106.895543,55.23314044,5.489241071,1.042790879,1.007783264,2288,59.9,280.2,0.42453736,0.259889643,72.9833333,13.9,3.8,24.3,77,27,416.8863802,268.2229028,30.41666667,26.08333333,43.0416667,29,56,27,958.64867,859.268835,138.75,947,880.4812599,2.416050686,2.59857851,24,0.7,0.3,12.49,43.8,0.1,2.399000025,11.70899862,23.55,5.5,29,72,1.031,12,51,37,9,66,100,11.628,30.49160769
182,6,116.17,3100,Very High,Malaysia,Asia,Malaysia,"Hikosaka-Malaysia_Mt_Kibalu_high - Hikosaka, K., Nagamatsu, D., Ishii, H. & Hirose, T. Photosynthesis-nitrogen relationships in species at different altitudes on Mount Kinabalu, Malaysia. Ecological Research 17, 305-313 (2002).",Drimys piperita,Angio,Canellales,Fagaceae,Drimys,brevifolia,T,E,63.79311542,28.2862983,4.275523808,1.543120066,2.415495912,2842,108.1,254.2,0.2696605,0.132778039,82.3666667,10.8,24.6,26.1,74,83,771.1106682,619.0273348,30.41666667,30.41666667,53.8333333,48.8,64.4,15.6,1390.276622,1390.276622,155.75,1405,1745.279446,2.022775801,1.628392493,25.95,1.2,49.16424911,5.27,53.2,0.1,0.728000003,10.56250097,12.75,4.5,13,19.65,1.363,35,31,34,13,16,145,5.32665,10
183,6,116.17,3700,Very High,Malaysia,Asia,Malaysia,"Hikosaka-Malaysia_Mt_Kibalu_highest - Hikosaka, K., Nagamatsu, D., Ishii, H. & Hirose, T. Photosynthesis-nitrogen relationships in species at different altitudes on Mount Kinabalu, Malaysia. Ecological Research 17, 305-313 (2002).",Drimys piperita,Angio,Canellales,Myrtaceae,Drimys,davidia,T,E,72.22705623,24.07534207,3.08706349,2.049217343,2.821401137,2842,108.1,254.2,0.2696605,0.132778039,82.3666667,7.5,24.6,26.1,74,83,771.1106682,619.0273348,30.41666667,30.41666667,53.8333333,48.8,64.4,15.6,1411.059594,1411.059594,155.75,1405,1800.572344,2.022775801,1.578386997,25.95,1.2,56.25507311,5.27,53.2,0.1,0.728000003,10.56250097,12.75,4.5,13,19.65,1.363,35,31,34,13,16,145,9.405,10
184,6,116.17,600,High,Malaysia,Asia,Malaysia,"Hikosaka-Malaysia_Mt_Kibalu_low - Hikosaka, K., Nagamatsu, D., Ishii, H. & Hirose, T. Photosynthesis-nitrogen relationships in species at different altitudes on Mount Kinabalu, Malaysia. Ecological Research 17, 305-313 (2002).",Boehmeria sp,Angio,Malvales,Dipterocarpaceae,Boehmeria,argentifolia,T,E,208.1866728,113.6063189,5.216466668,2.253730856,1.073267484,2842,108.1,254.2,0.2696605,0.132778039,82.3666667,23.4,24.6,26.1,74,83,771.1106682,619.0273348,30.41666667,30.41666667,53.8333333,48.8,64.4,15.6,1303.681038,1303.681038,155.75,1405,1516.443159,2.022775801,1.874122309,25.95,1.2,19.61914911,5.27,53.2,0.1,0.728000003,10.56250097,12.75,4.5,13,19.65,1.363,35,31,34,13,16,145,1.9494,10
185,6,116.17,1700,Very High,Malaysia,Asia,Malaysia,"Hikosaka-Malaysia_Mt_Kibalu_med - Hikosaka, K., Nagamatsu, D., Ishii, H. & Hirose, T. Photosynthesis-nitrogen relationships in species at different altitudes on Mount Kinabalu, Malaysia. Ecological Research 17, 305-313 (2002).",Drimys piperita,Angio,Myrtales,Myrtaceae,Drimys,clementis,T,E,114.2868842,62.64636734,5.547047618,1.402219752,1.283148116,2842,108.1,254.2,0.2696605,0.132778039,82.3666667,18.5,24.6,26.1,74,83,771.1106682,619.0273348,30.41666667,30.41666667,53.8333333,48.8,64.4,15.6,1341.783128,1341.783128,155.75,1405,1616.645877,2.022775801,1.757960732,25.95,1.2,32.61899311,5.27,53.2,0.1,0.728000003,10.56250097,12.75,4.5,13,19.65,1.363,35,31,34,13,16,145,12.7288125,10
189,-1.4167,120.3333,1103,Very High,pu valley - Indonesia,Asia,Indonesia,"Juhrbandt, J., Leuschner, C. & Holscher, D. (2004) The relationship between maximal stomatal conductance and leaf traits in eight Southeast Asian early successional tree species. Forest Ecology and Management, 202, 245-256.",Acalypha caturus,Angio,Malpighiales,Euphorbiaceae,Macaranga,argenteus,T,E,156.125,275.75,17.525,3.005,1.952822574,1810,122.5,258.8,0.24966838,0.167289341,81.925,21,19.9,20.9,80,80,621.9948088,469.9114754,30.41666667,30.41666667,45.8083333,35.8,52.2,16.4,1223.304737,1223.304737,163.9166667,1271,1346.145907,1.424075531,1.344579338,14.5,1.4,19.543,3.78,35.3,0.1,1.728500013,12.59400003,11.3,5,10,19.9,1.324,35,26,39,10,22,70,12,50
