SITECODE,Latitude,Longitude,ELEV,ELEV_Cate,Location,Continent,Country,Cite,Genus.spp,TaxGroup,Order,Family,Genus,Species,GF,DecEv,SLA,Amass,Aarea,Nmass,Narea,PPTmean,PPTmin,PPTmax,PPTcv,PPTseason,RH,TMPmean,TMPmin,TMPmax,TMPrange,TMPiso,TMP0gs,TMP5gs,TMP0nb,TMP5nb,SUNmean,SUNmin,SUNmax,SUNrange,PAR0,PAR5,RAD,PETf,PETq,Mif,Miq,ALU,SODIUM,CARB,TBA,SBA,SALT,Ntot,CN,AWHC,pH,CECS,CECC,BULK,CLAY,SILT,SAND,GRAVEL,Corg,DEPTH,Pavail,P.Distance
236,33.33,-79.22,3,Very Low,United States,North America,United States,"Reichetal_S_Carolina - Reich, P. B. et al. Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span - a test across biomes and functional groups. Oecologia 114, 471-482 (1998).
Reich, P. B. et al. Generality of leaf trait relationships: a test across six biomes. Ecology 80, 1955-1969 (1999).",Lyonia lucida,Angio,Ericales,Ericaceae,Pinus,arboreum,T,D,74.73,54.71,6.927,1.249,1.789655202,1295.136,66.6,175.1,0.28900358,0.147368601,72.925,18.1667,8,27.1,118,39,550.224076,398.1407427,30.41666667,30.41666667,63.1666667,57.1,70.8,13.7,1211.117759,1211.117759,152.25,1313,1208.93336,0.986394516,1.071304691,25.95,1.3,19.1119188,7.48,23.8,0.1,2.682500028,16.38150174,13.75,5.2,16,39.6,1.458,12,22,66,2,43,200,1.53,100.7526019
237,42.5,-90,275,Low,United States,North America,United States,"Reichetal_Wisconsin - Reich, P. B. et al. Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span - a test across biomes and functional groups. Oecologia 114, 471-482 (1998).
Reich, P. B. et al. Generality of leaf trait relationships: a test across six biomes. Ecology 80, 1955-1969 (1999).",Acer rubrum,Angio,Piles,Piceae,Pinus,america,T,D,133.5821196,119.7571429,9.04547619,2.256428571,1.997088792,908.753,30.9,112.7,0.38399464,0.247955049,71.4416667,8.225,-8.7,21.7,115,27,283.0438254,184.2967522,21.41666667,17.91666667,56.9666667,42.5,67.3,24.8,899.8010542,811.1187307,134.3333333,986,879.9761381,0.921656187,1.032701715,12.1,1.8,0.2,12.91,85.9,0.1,1.365499997,10.61449894,14.45,6.4,21,46.1,1.532,28,47,25,3,17,107,16.01333333,39.77542331
238,31.78,-110.88,1291,Very High,Holoceneshelters,North America,United States,"RescoHoloceneSheltersMesquite - Resco, V., Ewers, B.E., Sun, W., Huxman, T.E., Weltzin, J.F. & Williams, D.G. (2009) Drought-induced hydraulic limitations constrain leaf gas exchange responses to precipitation pulses in the C3 woody legume, Prosopis velutina. New Phytologist, 81, 672-682.",Prosopis velutina,Angio,Fabales,Fabaceae,Prosopis,velutina,S,D,163.05,279.517625,17.165,4.425,2.777487213,448.6,5.6,102,0.79759116,0.304583954,45.6166667,15.96666667,7.5,25.8,163,48,486.8436618,334.7603285,30.41666667,30.41666667,80.975,74.7,88.9,14.2,1469.632491,1469.632491,182,1739,1473.404242,0.257964347,0.304464975,12.4,5,28.3015,15.72,97.3,0.329999996,0.455500001,9.179500636,8.6,7.4,19,51.3,1.51,24,29,48,12,9,65,23.09666667,50
239,31.78,-110.88,1291,Very High,Pleistoceneshelters,North America,United States,"RescoPleistoceneSheltersMesquite - Resco, V., Ewers, B.E., Sun, W., Huxman, T.E., Weltzin, J.F. & Williams, D.G. (2009) Drought-induced hydraulic limitations constrain leaf gas exchange responses to precipitation pulses in the C3 woody legume, Prosopis velutina. New Phytologist, 81, 672-682.",Prosopis velutina,Angio,Fabales,Fabaceae,Prosopis,velutina,S,D,107.7,180.3787,17.16,3.76,3.533235505,448.6,5.6,102,0.79759116,0.304583954,45.6166667,15.96666667,7.5,25.8,163,48,486.8436618,334.7603285,30.41666667,30.41666667,80.975,74.7,88.9,14.2,1469.632478,1469.632478,182,1739,1473.404209,0.257964347,0.304464988,12.4,5,28.3015,15.72,97.3,0.329999996,0.455500001,9.179500636,8.6,7.4,19,51.3,1.51,24,29,48,12,9,42,8.883333333,50
240,-16.1667,145.4,156,Very Low,Maleny,Australia,Australia,"Richards, A.E. & Schmidt, S. (2010) Complementary resource use by tree species in a rain forest tree plantation. Ecological Applications, 20, 1237-1254",Castanospermum australe,Angio,Fabales,Elaeocarpaceae,Castanospermum,angustifolius,T,E,115.3333333,117.9766667,10.4,2.533333333,2.186613573,1918.1,27,407.7,0.96643499,0.611415017,66.55,25.55,22.1,28.1,86,58,776.7787879,624.6954546,30.41666667,30.41666667,59.6666667,47.6,68.2,20.6,1308.289628,1308.289628,192.25,1870,1493.093418,1.025721925,1.284648353,20.25,1.5,4.184,4.5,46.3,0.249999997,1.181499993,10.94149934,11.45,5.3,12,22.6,1.137,37,21,42,8,23,150,7.328,132.9661708
241,19.46,-155.56,603,High,KoHawaii,Oceania,United States,"Sanquist, D.R. & Cordell, S. (2007) Functional diversity of carbon-gain, water-use, and leaf-allocation traits in trees of a threatened lowland dry forest in Hawaii. American Journal of Botany, 94(9), 1459-69.",Colubri oppositifolia,Angio,Ericales,Ebeceae,Colubri,sandwicensis,T,E,58.4192262,56.63777725,8.976666667,1.576666667,2.700626667,1033,76.7,288.5,0.36458634,0.233201679,75.9,19.9,19.5,22.2,87,72,635.6557748,483.5724414,30.41666667,30.41666667,51.4916667,44.9,54.5,9.6,1201.255329,1201.255329,152.9166667,1344,1293.862299,0.76860119,0.798384793,20.3,1.68,66.4462,11.09,63.45,0.1,5.771199992,16.42684654,26.025,5.949,37.41000208,89.62,1.46,20.2,31.2,48.6,3,122.2,88,254,5
242,40.35,-124,433,Medium,HumboldtRedwoods,North America,United States,"Santiago, L.S. & Dawson, T.E. (2014) Light use efficiency of California redwood forest understory plants along a moisture gradient. Oecologia, 174, 351-363.",Lithocarpus densiflora,Angio,Cupressales,Cupressaceae,Lithocarpus,densiflora,T,E,210.6,79.0955719,4.142,1.296,0.778511782,1505.4,3.7,268.7,0.85974545,0.571254822,73.4416667,11.05,7,15.6,109,51,336.6810549,184.5977216,30.41666667,30.41666667,58.9,46,67.3,21.3,1110.477949,1110.477949,141.5,872,940.1876413,1.726376147,1.601169638,10,1,0.154,4.78,38.4,0.1,1.877999977,12.14900143,13.7,5.1,13,33.2,1.229,20,32,48,14,51,127,254,83.51610065
243,21.15,-89.82,4,Very Low,Dzibilchaltun,Central America,Mexico,"Estrada-Medina, H., Santiago, L.S., Graham, R.C., Allen, M.F. & Jimenez-Osornio, J.J. (2013) Source water, phenology and growth of two tropical dry forest tree species growing on shallow karst soils. Trees-Structure and Function, 27(5), 1297-1307.
+ Santiago Louis S., unpublished work",Acacia collinsi,Angio,Fabales,Fabaceae,Acacia,gaumeri,T,E,121.1319355,208.8063003,17.09664516,2.921659938,2.80642955,777.5,14.1,147.7,0.76061451,0.471093903,74.3083333,26.34166667,23.2,28.5,79,61,801.4658687,649.3825353,30.41666667,30.41666667,58.8916667,55,61.7,6.7,1271.189513,1271.189513,167.9166667,1491,1459.383249,0.521462106,0.532759225,12.1,1,91.48,35,100,0.199999997,1.484500005,10.73434947,14.145,6.8,36,23,1.383,38,26,37,4,33,30,3.55,76.77367885
244,9.28,-79.97,140,Very Low,Ft.Sherman,Central America,Panama,"Santiago, L.S., Kitajima, K., Wright, S.J. & Mulkey, S.S. (2004) Coordinated changes in photosynthesis, water relations and leaf nutritional traits of canopy trees along a precipitation gradient in lowland tropical forest. Oecologia, 139, 495-502.
Santiago, L.S. & Wright, S.J. (2007) Leaf functional traits of tropical forest plants in relation to growth form. Functional Ecology, 21, 19-27.",Aspidosperma cruenta,Angio,Rosales,Lauraceae,Aspidosperma,amara,T,E,81.59026511,104.5177051,12.60447059,1.651764706,2.081788798,3047.4,42.3,517.1,0.5890388,0.307764637,83.6666667,26.88333333,26.3,27.7,62,76,817.6906767,665.6073433,30.41666667,30.41666667,49.7833333,41.4,65.2,23.8,1226.690748,1226.690748,178.9166667,1430,1438.23848,2.131048951,2.118841717,13.4,1.85,1.8855,5.505,63.4,19.91199998,5.262000003,15.96599976,25.85,4.3,15,20.35,1.302,39,33,28,19,22,182,8.705666667,1
245,9.28,-79.97,60,Very Low,ParqueMetropolitano,Central America,Panama,"Santiago, L.S., Kitajima, K., Wright, S.J. & Mulkey, S.S. (2004) Coordinated changes in photosynthesis, water relations and leaf nutritional traits of canopy trees along a precipitation gradient in lowland tropical forest. Oecologia, 139, 495-502.
Santiago, L.S. & Wright, S.J. (2007) Leaf functional traits of tropical forest plants in relation to growth form. Functional Ecology, 21, 19-27.",Chrysophyllum cainito,Angio,Ericales,Boragiceae,Chrysophyllum,alliodora,T,E,82.14919148,122.3805788,15.38875,2.0275,2.524760495,1740,42.3,517.1,0.5890388,0.307764637,83.6666667,26.88333333,26.3,27.7,62,76,817.6906767,665.6073433,30.41666667,30.41666667,49.7833333,41.4,65.2,23.8,1224.051053,1224.051053,178.9166667,1430,1431.426837,1.216783217,1.215570316,13.4,1.85,1.8855,5.505,63.4,19.91199998,5.262000003,15.96599976,25.85,4.3,15,20.35,1.302,39,33,28,19,22,182,9.345266667,1
246,45.32,-75.59,116,Very Low,Canada,North America,Canada,"Small, E. Photosynthetic rates in relation to nitrogen cycling as an adaptation to nutrient deficiency in peat bog plants. Canadian Journal of Botany 50, 2227-2233 (1972).",Acer rubrum,Angio,Ericales,Ericaceae,Betula,alba,S,D,119.104012,112.0886874,10.11809213,1.810434783,1.597139758,898.283,58.2,89,0.1444877,0.078910475,70.5416667,5.45833,-10.8,20.7,96,23,250.3944342,158.6958003,20,16.58333333,44.3583333,27.5,59.8,32.3,752.7990754,676.5682071,128.5,806,726.3145547,1.114495037,1.236768324,2.5,1,1,24.9,87,0.1,1.599999983,11.09499861,16.5,6.3,26,37,1.436,23,39,38,5,35,150,15.08666667,107.0596954
248,10.351402,-67.458819,400,Medium,Venezuela,South America,Venezuela,"Sobrado_Charallave - Sobrado, M. A. Cost-benefit relationships in deciduous and evergreen leaves of tropical dry forest species. Functional Ecology 5, 608-616 (1991).",Bourreria cumanensis,Angio,Fabales,Fabaceae,Capparis,america,T,D,141,113.056,7.98,2.893967244,2.4107007,916.815,18.7,146.3,0.55953395,0.355672818,80.725,24.6167,17.9,20.4,108,77,589.1976068,437.1142735,30.41666667,30.41666667,52.95,42.9,65.9,23,1267.85806,1267.85806,159.75,1243,1322.084187,0.737582462,0.693461834,24.9,1,39.086,4.86,41.7,8.238000016,0.958999996,10.72599865,11.9,5.5,17,14.1,1.222,27,24,49,37,30,125,6.810555555,14.00844226
252,28.5,87,4250,Very High,China,Asia,China,"Terashima, I., Masuzawa, T. & Ohba, H. Photosynthetic characteristics of a giant alpine plant, Rheum nobile Hook. f. et Thoms. and of some other alpine species measured at 4300 m, in the Eastern Himalaya, Nepal. Oecologia 95, 194-201 (1993).",Aconogonon campanulatum,Angio,Caryophyllales,Polygoceae,Potentilla,acaulis,H,N,168.3639733,185.8500716,10.97095238,3.327376979,2.1456315,1015.461,2.1,81.4,1.40329332,0.708837586,56.05,-2.775,-10.1,9.4,157,46,91.67774983,29.35643839,15,10,52.9,29.4,65.9,36.5,672.9424752,437.7736177,155.75,852,977.2377441,1.191855634,1.039113455,15.18,2.34,66.4462,8.6,71,0.1,1.93000001,11.89594885,14.805,6.8,29,31,1.259,23,19,57,6,46,50,2.703999996,5
254,45.41,-93.21,300,Low,United States,North America,United States,"Tjoelker, MG., Craine, J.M., Wedin, D., Reich, P.B. & Tilman, D. (2005) Linking leaf and root trait syndromes among 39 grassland and savannah species. New Phytologist, 167, 493‚Ä?08.",Achillea millefolium,Angio,Poales,Poaceae,Aster,americanus,H,N,109.0555556,229.6588889,21.57777778,2.014722222,1.970833333,729.738,18.7,106,0.52589368,0.348234619,68.7166667,6.31667,-12.8,21.5,117,25,261.6836418,170.3254451,19.75,16.66666667,57.225,38.4,72,33.6,849.0692267,767.7654219,127,971,831.3546189,0.751532441,0.877769541,13.4,2.4,1.267,16.7,85,0.1,5.376500088,12.74199905,19.95,6.4,18,51.3,1.498,20,32,48,6,33,165,2.183333333,125.9938661
266,-31.371801,115.708323,15,Very Low,Australia,Australia,Australia,"Veneklaas_W_Australia, Veneklaas Erik, unpublished work",Adenthos cygnorum,Angio,Proteales,Proteaceae,Adenthos,cygnorum,S,E,42.9989126,65.9519082,13.8081519,0.788,1.83260448,690.015,9.7,145.6,0.85620697,0.541205177,54.4333333,18.25,13.3,24.8,106,50,561.0894962,409.0061628,30.41666667,30.41666667,66.2166667,50.8,80.8,30,1268.934596,1268.934596,185.9166667,1816,1266.483481,0.379964207,0.544827477,22.8,1.6,0.1,3.11,23.9,0.1,1.025499991,17.2820028,12.5,6.3,12,42.1,1.251,11,5,84,13,13,100,4.2136,92.30675641
267,-31.5,115.6,15,Very Low,Western Australia,Austrtalia,Austrtalia,"Veneklaas_W_Australia, Veneklaas Erik, unpublished work",Andersonia heterophylla,Angio,Myrtales,Myrtaceae,Banksia,sp,S,E,60.05311274,77.55174232,15.10412455,1.250310345,2.825465191,690.015,7,142.6,0.88787955,0.559864272,54.8666667,18.25,13.9,24.8,106,50,570.7575925,418.6742592,30.41666667,30.41666667,66.775,51.5,81,29.5,1272.881268,1272.881268,182.3333333,1816,1276.188369,0.379964207,0.540684228,22.8,3.2,0.1,6.04,71.8,0.199999997,1.025499991,17.2820028,12.5,6.9,16,78.1,1.31,27,19,54,8,9,100,4.2136,110.5197227
268,18,-93.5,340,Low,Mexico,North America,Mexico,"Williams, K., Field, C. B. & Mooney, H. A. Relationships among leaf construction cost, leaf longevity, and light environment in rain-forest plants of the genus Piper. American Naturalist 133, 725-736 (1989).
Chazdon, R. L. & Field, C. B. Determinants of photosynthetic capacity in six rainforest piper species. Oecologia 73, 222-230 (1987).",Piper aequale,Angio,Piperales,Piperaceae,Piper,aequale,S,E,283.1851165,134.6666667,4.566666667,2.87370795,0.927472318,4725,70.4,411.5,0.53253856,0.326451636,74.0083333,24.6,22.7,29.1,105,61,804.0500173,651.9666839,30.41666667,30.41666667,47.7333333,39.4,58.3,18.9,1166.088969,1166.088969,162.5,1555,1364.657601,3.038585209,3.462406978,7.05,2.33,29.45638524,23.128,94.15,0.127,0.772499998,11.61899925,10.05,6.1,20,76.31,1.427,34,32,34,5,13,159,58.8,12.7280935
275,-33.86,151.21,39,Very Low,Australia,Australia,Australia,"Wright_Oz_syd_hiP - Wright, I. J., Reich, P. B. & Westoby, M. Strategy-shifts in leaf physiology, structure and nutrient content between species of high and low rainfall, and high and low nutrient habitats. Functional Ecology 15, 423-434 (2001).
Wright, I. J. & Westoby, M. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155, 403-416 (2002).
Wright, I. J. & Westoby, M. Nutrient concentration, resorption and lifespan: leaf traits of Australian sclerophyll species. Functional Ecology 17, 10-19 (2003).",Acacia floribunda,Angio,Myrtales,Myrtaceae,Eucalyptus,communis,S,E,86.86741844,84.70946,9.2129025,1.348530318,1.633015874,1148.197,61.6,152.6,0.30986897,0.14513965,62.075,17.5167,12.4,22.6,92,47,545.0218183,392.9384849,30.41666667,30.41666667,56.875,50.9,67,16.1,1110.703538,1110.703538,162.0833333,1357,1089.055876,0.846128961,1.054304949,21.15,1.3,10.1125,6.26,31.4,0.12,1.112499991,16.52049823,12.8,6.1,13,47.7,1.349,15,14,71,13,16,76,9.2,50
276,-33.86,151.21,39,Very Low,Australia,Australia,Australia,"Wright_Oz_syd_loP - 
Wright, I. J., Reich, P. B. & Westoby, M. Strategy-shifts in leaf physiology, structure and nutrient content between species of high and low rainfall, and high and low nutrient habitats. Functional Ecology 15, 423-434 (2001).
Wright, I. J. & Westoby, M. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155, 403-416 (2002).
Wright, I. J. & Westoby, M. Nutrient concentration, resorption and lifespan: leaf traits of Australian sclerophyll species. Functional Ecology 17, 10-19 (2003).",Acacia suaveolens,Angio,Proteales,Proteaceae,Grevillea,australasius,S,E,68.74152542,55.01385176,9.948575706,0.980224935,1.533200825,1148.197,61.6,152.6,0.30939002,0.14513965,61.5333333,17.5167,12.4,22.6,92,47,545.0218183,392.9384849,30.41666667,30.41666667,56.8666667,50.9,67,16.1,1110.703511,1110.703511,162.0833333,1357,1089.055853,0.846128961,1.054304951,29.15,1.3,10.1125,6.26,31.4,0.12,1.112499991,16.52049823,12.8,6.1,13,47.7,1.349,15,14,71,13,16,76,1.5,50
277,-33.84,145.88,223,Low,Australia,Australia,Australia,"Wright_Oz_wnsw_hiP - 
Wright, I. J., Reich, P. B. & Westoby, M. Strategy-shifts in leaf physiology, structure and nutrient content between species of high and low rainfall, and high and low nutrient habitats. Functional Ecology 15, 423-434 (2001).
Wright, I. J. & Westoby, M. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155, 403-416 (2002).
Wright, I. J. & Westoby, M. Nutrient concentration, resorption and lifespan: leaf traits of Australian sclerophyll species. Functional Ecology 17, 10-19 (2003).",Sen artemisioides,Angio,Sapindales,Fabaceae,Dodoea,artemisioides,S,E,72.08619678,82.76231926,11.66690026,1.957016124,2.962604357,411.807,28.7,47.1,0.15308284,0.054065217,52.3333333,17.1,8.4,24.5,133,45,502.8296093,350.7462759,30.41666667,30.41666667,64.5333333,54.4,73,18.6,1217.645813,1217.645813,177,1416,1187.306951,0.290824153,0.346841227,3.2,4.85,51.9745,13.95,95.2,0.265,0.731000004,9.703000761,10.6,7.4,18,45.45,1.259,28,10,62,13,8,100,23,177.0990066
278,-33.84,145.88,223,Low,Australia,Australia,Australia,"Wright_Oz_wnsw_loP - 
Wright, I. J., Reich, P. B. & Westoby, M. Strategy-shifts in leaf physiology, structure and nutrient content between species of high and low rainfall, and high and low nutrient habitats. Functional Ecology 15, 423-434 (2001).
Wright, I. J. & Westoby, M. Leaves at low versus high rainfall: coordination of structure, lifespan and physiology. New Phytologist 155, 403-416 (2002).
Wright, I. J. & Westoby, M. Nutrient concentration, resorption and lifespan: leaf traits of Australian sclerophyll species. Functional Ecology 17, 10-19 (2003).",Acacia colletioides,Angio,Fabales,Fabaceae,Acacia,acumitum,S,E,53.9967247,44.95875762,9.364775524,1.525159676,2.912893581,411.807,28.7,47.1,0.15308284,0.054065217,52.3333333,17.1,8.4,24.5,133,45,502.8296093,350.7462759,30.41666667,30.41666667,64.5333333,54.4,73,18.6,1217.645812,1217.645812,177,1416,1187.30701,0.290824153,0.346841186,3.2,4.85,51.9745,13.95,95.2,0.265,0.731000004,9.703000761,10.6,7.4,18,45.45,1.259,28,10,62,13,8,100,15,177.0990066
279,28.1333,113.2833,71,Very Low,"Guanzhou, Chi",Asia,China,"Deng, X., Ye, W.-H., Feng, H.-L., Yang, Q.-H., Cao, H.-L., Xu, K.-Y. & Zhang, Y. (2004) Gas exchange characteristics of the invasive species Mikania micrantha and its indigenous congener M. cordata (Asteraceae) in South China. Botanical Bulletin of Academia Sinica, 45, 213-220.",Mikania cordata,Angio,Asterales,Asteraceae,Mikania,cordata,V,N,423.56,629.076505,14.645,3.1066995,0.735,1452,45.1,209.1,0.49657634,0.305526804,80.15,17.6,5.5,29.5,81,24,539.9455678,387.8622345,30.41666667,30.41666667,36.0916667,20.7,58.4,37.7,976.7467092,976.7467092,138,1010,1009.394027,1.437623762,1.438486809,11.25,1,21.34115704,24.1,100,0.300000002,0.737000001,11.30049899,10.75,6.1,11,34,1.533,28,37,35,8,12,70,2.238000035,5
281,1.93,-67.05,120,Very Low,Venezuela,South America,Venezuela,"Reichetal_Venezuela - 
Reich, P. B. et al. Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span - a test across biomes and functional groups. Oecologia 114, 471-482 (1998).
Reich, P. B. et al. Generality of leaf trait relationships: a test across six biomes. Ecology 80, 1955-1969 (1999).",Aspidosperma album,Angio,Malpighiales,Burseraceae,Protium,album,T,E,77.53076923,46.87692308,6.15,1.248461538,1.634711918,3171.349,173.1,411.5,0.31843526,0.199817866,84.675,25.9917,26,27.5,133,93,817.3996447,665.3163113,30.41666667,30.41666667,43.6,35.3,50.1,14.8,1163.472496,1163.472496,154.3333333,1334,1369.560311,2.377323088,2.315596174,6.4,2.1,13.89419211,1.105,17.75,8.297000024,4.052999997,12.13199863,23,4.1,7,52.05,1.215,21,17,62,9,27,110,15.66,1
282,1.93,-67.05,120,Very Low,Venezuela,South America,Venezuela,"Reichetal_Venezuela - 
Reich, P. B. et al. Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span - a test across biomes and functional groups. Oecologia 114, 471-482 (1998).
Reich, P. B. et al. Generality of leaf trait relationships: a test across six biomes. Ecology 80, 1955-1969 (1999).",Clidemia sericea,Angio,Malpighiales,Clusiaceae,Vismia,dispar,T,E,113.26,121.2,10.772,1.636,1.47012824,3171.349,173.1,411.5,0.31843526,0.199817866,84.675,25.9917,26,27.5,133,93,817.3996447,665.3163113,30.41666667,30.41666667,43.6,35.3,50.1,14.8,1163.472473,1163.472473,154.3333333,1334,1369.560282,2.377323088,2.315596228,26.4,2.1,13.89419211,1.105,21,8.297000024,4.052999997,12.13199863,23,4.1,7,52.05,1.215,21,17,62,9,27,110,3,1
283,1.93,-67.05,120,Very Low,Venezuela,South America,Venezuela,"Reichetal_Venezuela - 
Reich, P. B. et al. Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span - a test across biomes and functional groups. Oecologia 114, 471-482 (1998).
Reich, P. B. et al. Generality of leaf trait relationships: a test across six biomes. Ecology 80, 1955-1969 (1999).",Bellucia grossularioides,Angio,Malpighiales,Euphorbiaceae,Bellucia,esculenta,T,E,196.3,302.525,15.5125,3.015,1.670688053,3171.349,173.1,411.5,0.31843526,0.199817866,84.675,25.9917,26,27.5,133,93,817.3996447,665.3163113,30.41666667,30.41666667,43.6,35.3,50.1,14.8,1163.472488,1163.472488,154.3333333,1334,1369.560301,2.377323088,2.315596185,26.4,2.1,13.89419211,1.105,51,8.297000024,4.052999997,12.13199863,23,4.1,7,52.05,1.215,21,17,62,9,27,110,2.6,1
